USITEID,DISTRICT,COMMUNITY,Year,REGION,LAT_N_,LONG_W_,ENDEM_DIST,Endemism__04_07_,Total_MU_Present__VNTR_,USWBTYPE,WBFLOW,HUMAN,elevation,Dist_To_Ocean_km_,Aspect,Dir,Dir_Class,Wet_0_1km_AVG,Wet_0_1km_STD,Wet_0_5km_AVG,Wet_0_5km_STD,Wet_1km_AVG,Wet_1km_STD,Wet_5km_AVG,Wet_5km_STD,Water_100m,Water_500m,Water_1km,Water_5km,Water_10km,Wetlands_100m,Wetlands_500m,Wetlands_1km,Wetlands_5km,Wetlands_10km,Forest_100m,Forest_500m,Forest_1km,Forest_5km,Forest_10km,Cropland_100m,Cropland_500m,Cropland_1km,Cropland_5km,Cropland_10km,Shrubland_100m,Shrubland_500m,Shrubland_1km,Shrubland_5km,Shrubland_10km,Urban_100m,Urban_500m,Urban_1km,Urban_5km,Urban_10km,calcium,calcium_hardness,carbon_trioxide,chlorine,chlorophyll,color,dis_ox,cond,temp,fturb,iron,magn,manganese,nitrate,nitdiox,nitphos,oxred,ph,phosphate,sulfate,sussol,totalk,totds,totnit
S.5.1,Dangme West,Adumanya,2005,Accra,5.90346,-0.06449,NON,0,0,pond,lentic,human,47,27.47620652,142.9696045,SE,4,8.522194862,2.597271912,6.333872355,2.065462641,6.151300152,2.027386983,5.084373756,2.047012885,0,0,0,0,0,0,0,0,0.125129266,0.063864225,0,0,0,2.105480869,2.755211269,0,1.549586777,10.29487843,12.72182006,9.468194582,87.5,87.19008265,72.73667874,46.72905895,42.68974397,0,0,0.853595448,0.433298863,0.38396103,44.90000013,112,288,60.4999997,31.44,100.0000004,93.17,6.45204895,26.89,249.9,0.200000004,13.60000002,0.151000006,0.004,0.575000022,57.9,117,6.926,0.01,3.55,149.9999994,236,348.9999992,0.579000001
S.5.10,Amansie West,Tontokrom,2005,Ashanti,6.25192,-1.99414,END,1,0,stream,lotic,nature,145,141.7032333,253.3007507,W,7,8.099658012,3.48852429,4.656271025,2.125135818,4.76286498,2.243881585,4.562347152,1.775653529,0,0,0,0,0,0,0,0,0,0,0,0,0.41397154,9.734861019,16.48227486,0,0.206825233,0.077619664,0.019647584,0.055071917,0,0,0,0,0,0,5.170630817,2.794307891,0.24094143,0.527449343,7.209999972,2.25,39,7.900000029,10.34,14.99999998,56.61,4.29045944,23.5,5.742,1.60999999,6.250000008,0.007,0.151999994,0.01,16.2,-133,6.604,0.01,7.64,12,32,47.99999996,0.162000007
S.5.11,Amansie West,Bonsaaso,2005,Ashanti,6.23316,-1.99909,END,1,1,fetch,lentic,human,139,139.8879516,274.9697266,W,7,5.230798086,1.56664547,4.694479378,2.051183361,4.446498265,1.716998532,4.610790919,1.777241614,0,0,0,0,0,0,0,0,0,0,0,0,0.051733057,16.84455476,18.41839901,0,0,0,0.009308098,0.023011687,0,0,0,0,0,12.82051282,3.505154639,0.879461976,0.284414107,0.325266315,9.620000044,24,70.8,7.900000029,16.16,179.9999998,23.87,5.16820868,24.22,49.14,2.190000004,2.919999985,0.011,0.286999989,0.055,34.2,72.7,6.836,0.01,8.89,3.999999996,58,115.9999999,0.342000014
S.5.12,Amansie West,Bonsaaso,2005,Ashanti,6.229,-1.99715,END,1,0,stream,lotic,nature,147,139.3846188,274.9697266,W,7,6.409542958,3.082790492,4.885385254,2.150006684,4.175841744,1.673215265,4.586309986,1.748733403,0,0,0,0,0,0,0,0,0,0,0,0,0.051692944,21.0029889,19.13918893,0,0,0,0.008273779,0.019131433,0,0,0,0,0,0,0.310880829,0.878780047,0.284411166,0.289039757,4.010000025,1.25,29.3,14.90000001,5.186,4.999999988,53.95,4.59511985,23.8,0.01174,0.629999995,9.420000038,0.01,0.158000007,0.003,16.1,-144,6.65,0.01,5.57,23.99999999,24,62.00000031,0.161000002
S.5.13,Amansie West,Watreso,2005,Ashanti,6.24568,-1.91547,END,1,0,fetch,lentic,human,142,138.7119422,92.29061127,E,3,7.406735659,3.296357424,5.394973001,2.326569806,5.07483841,1.908081653,4.621080683,1.779844288,0,0,0,0,0,0,0,0,0,0,0,0.520833333,0.361944157,22.9701352,19.43682508,0,0.3125,0.12926577,0.013447951,0.015511612,0,0,0,0,0,0,3.958333333,3.619441572,0.298958301,0.263180346,7.209999972,2.25,48.8,8.900000028,36.7,29.99999995,30.88,4.58005749,26.23,329.1,6.38000001,9.179999989,0.009,0.123000003,0.003,12.6,-165,6.674,0.01,18.8,21.00000005,40,60.99999975,0.125999996
S.5.14,Amansie West,Bretsekrom,2005,Ashanti,6.20813,-1.91015,END,0,0,riverine wetland,lentic,nature,163,134.5404982,88.45184326,E,3,4.017208219,1.039864223,4.301077946,1.223620465,4.533069313,1.719833102,4.602075409,1.747132964,0,0,0,0,0,0,0,0,0,0,33.33333333,43.34365325,43.3479721,29.44856972,31.88448889,0,0,0,0.017581236,0.006722376,0,0,0,0,0,0,0,0.025833118,0.419881275,0.243039755,12.79999997,4,73.2,6.000000007,24.97,9.99999997,2.234,4.5119578,23.2,16.91,5.640000012,9.720000047,0.165000001,0.110999998,0.022000001,13.3,47.5,6.447,0.01,16.3,14.00000001,60,58.99999977,0.132999993
S.5.15,Amansie West,Nyame Bekyere,2005,Ashanti,6.17479,-1.9257,END,1,1,river,lotic,nature,130,131.4047729,139.7636414,SE,4,6.170618117,2.326607847,5.229739093,1.723537085,5.130884583,1.831242728,4.513495726,1.738522188,0,0,0,0,0,0,0,0,0,0,0,1.5625,1.034126163,41.57925227,47.41815474,2.777777778,0.208333333,0.051706308,0.00517245,0.007756006,0,0,0,0,0,63.88888889,2.604166667,0.672182006,0.224484307,0.191831891,10.40000005,26,85.4,5.000000005,10.26,9.99999997,82.33,5.65913372,25.6,11.69,1.100000004,5.829999976,0.027999999,1.920000008,0.009,192.9,64.5,7.618,0.01,7.51,3.000000004,70,157.0000007,1.928999992
S.5.16,Dunkwa,Aduman,2005,Ashanti,5.9237,-1.70317,NON,0,0,stream,lotic,nature,100,99.2316239,319.7636414,NW,8,7.487179279,1.698409673,4.667770174,2.000054698,4.560022298,1.758246592,4.077560171,1.760623161,0,0,0,0,0,0,0,0,0,0,0,0.931677019,1.576634789,2.533661503,6.323344252,5.128205128,1.035196687,0.336004135,0.078595214,0.073942124,0,0,0,0,0,7.692307692,4.865424431,1.473248902,0.419863906,0.432535569,6.410000005,16,31.7,26.79999998,5.651,14.99999998,90.34,4.38202663,23.51,11.86,1.580000003,3.399999996,0.031999999,0.125999996,0.011,13.7,-58.9,7.155,0.01,7.01,15.99999996,26,54.00000019,0.136999994
S.5.17,Dunkwa,Adwumam,2005,Ashanti,5.92645,-1.70483,NON,0,0,pond,lentic,human,110,99.56483768,63.43494797,NE,2,3.224042098,0.790980016,4.730803995,1.616229349,4.663979741,1.790000583,4.058549977,1.76254825,0,0,0,0,0,0,0,0,0,0,0,3.619441572,2.276254527,2.691774731,7.012713015,0,1.13753878,0.336264873,0.076523753,0.077048574,0,0,0,0,0,0,3.929679421,1.474392137,0.453971996,0.54968211,7.209999972,18,39,5.000000005,11.58,45.00000001,87.74,4.80402104,27.83,27.04,7.340000017,4.379999978,0.024000001,0.049999999,0.006,5.6,60.5,7.084,0.01,12.7,13.00000003,32,72.99999992,0.055999999
S.5.18,Upper Denkyira,Ampa Abena,2005,Ashanti,6.13711,-2.03272,END,1,0,river,lotic,human,123,131.0708189,100.4374771,E,3,5.549106439,1.316280441,4.514020663,1.332919252,4.691954756,1.615102915,4.521089407,1.75913358,0,0,0,0,0,0,0,0,0,0,0,0.103199174,0.491718427,2.280484021,15.60068049,0,0,0,0.020684662,0.014995682,0,0,0,0,0,0,0,0.025879917,0.611231772,0.422464566,8.019999963,16,39,7.900000029,11.59,50.00000023,62.45,4.52536912,23.3,14.82,1.60999999,4.869999977,0.017000001,0.074999997,0.008,8.3,-8.03,6.506,0.01,8.4,13.00000003,32,57.00000012,0.082999998
