ADM2,WaterPercent,WetlandsPercent,SaltPercent,ForestPercent,CroplandPercent,RiparianPercent,ShrublandPercent,UrbanPercent,SandPercent,CloudPercent,BackgroundPercent
Adansi North,5.81E-05,0,0,0.109387081,0.08987219,0.008187941,0.759540307,0.032954378,0,0,0
Adansi South,0,0,0,0.162344519,0.052140994,0,0.780453727,0.005020038,0,4.07E-05,0
Afigya-Sekyere,0.000127141,0,0,0.567198913,0.049815521,0,0.330330566,0.001958218,0,0.050569641,0
Ahafo Ano North,0.000847206,0,0,0.729634636,0.015498741,0,0.23900461,0.014597622,2.57E-06,0.000410767,3.85E-06
Ahafo Ano South,7.35E-05,0,0,0.610068502,0.109690065,0,0.214220132,0.003679782,0,0.062268068,0
Amansie Central,0.00031918,0,0,0.120904504,0.094917413,0.000460059,0.77414924,0.009249605,0,0,0
Amansie East,0.010967718,0,0,0.131885738,0.079764345,0.000245161,0.771302642,0.00582902,0,5.38E-06,0
Amansie West,0.000253517,0,0,0.102446643,0.052382944,0.000499837,0.834839376,0.009232994,0,0.000344688,0
Asante Akim North,7.86E-06,0,0,0.359437255,0.053863178,0,0.55412523,0.00135409,0,0.031212388,0
Asante Akim South,0,0,0,0.390201671,0.027695609,7.69E-07,0.51438424,0.002907359,0,0.064810353,0
Atwima,0.003089104,0,0,0.351031826,0.112829945,0,0.311866983,0.009197881,0,0.21198426,0
Atwima Mponua,0.00014788,0,0,0.426277673,0.021764467,6.22E-05,0.50596158,0.00472114,0.000180965,0.035016545,0.005867589
Botsomtwe/Atwima/Kwanhuma,0.053661533,0,0,0.043997412,0.267288661,0.000485539,0.572653679,0.043229378,0,0.018683798,0
Ejisu-Juaben,0,0,0,0.496065977,0.036540635,0,0.372061285,0.006823741,0,0.088508362,0
Ejura/Sekyedumase,2.73E-06,0,0,0.081971248,0.312669629,0,0.597109913,0.007824479,0,0.000422005,0
Kumasi Metropolitan,0.000525977,0,0,0.108083494,0.049602595,0,0.264250093,0.214574445,0,0.362963396,0
Kwabre,1.07E-05,0,0,0.398445222,0.053551679,0,0.323997542,0.024245986,0,0.199748885,0
Obuasi Municipal,0,0,0,0.28712638,0.014311294,4.19E-05,0.69756496,0.000955482,0,0,0
Offinso,0.003560896,0,0,0.345886766,0.168459292,0,0.461559847,0.005918109,6.13E-05,0.014543885,9.91E-06
Sekyere East,4.70E-05,0,0,0.157034596,0.110024778,0,0.72890395,0.000392806,0,0.003596895,0
Sekyere West,3.02E-06,0,0,0.121786155,0.243293785,0,0.634138453,0.000455906,0,0.000322682,0
Asunafo North,4.26E-05,0,0,0.78797369,0.013622497,0,0.173045297,0.012564833,2.68E-05,0,0.012724273
