ADM2,pop
Abura/Asebu/Kwamankese,106389
Accra Metropolis,2341175
Adansi North,146796
Adansi South,142819
Afigya-Sekyere,155615
Afram Plains,151919
Agona,187707
Ahafo Ano North,94017
Ahafo Ano South,174612
Ahanta West,122405
Ajumako/Enyan/Essiam,108600
Akuapim North,117077
Akuapim South,130031
Amansie Central,85185
Amansie East,209219
Amansie West,142068
Aowin/Suaman,153274
Asante Akim North,165263
Asante Akim South,126574
Asikuma/Odoben/Brakwa,105565
Assin North,126792
Assin South,105201
Asunafo North,120275
Asunafo South,91759
Asuogyaman,84852
Asutifi,102937
Atebubu-Amantin,100698
Atiwa,101053
Atwima,119111
Atwima Mponua,191367
Awutu/Effutu/Senya,200717
Berekum,113598
Bia,142126
Bibiani/Anhwiaso/Bekwai,132847
Birim North,137987
Birim South,200448
Botsomtwe/Atwima/Kwanhuma,190810
Cape Coast Municipal,139469
Dangme East,131404
Dangme West,136622
Dormaa,183125
East Akim,111688
Ejisu-Juaben,162256
Ejura/Sekyedumase,105990
Fanteakwa,96290
Ga East,294120
Ga West,482727
Gomoa,230026
Jaman North,84939
Jaman South,95783
Jomoro,143258
Juabeso,173131
Kintampo North,104239
Kintampo South,74587
Komenda/Edina/Eguafo/Abirem,132775
Kumasi Metropolitan,1529151
Kwabre,215166
Kwaebibirem,200292
Kwahu South,175592
Kwahu West,67479
Manya Krobo,172454
Mfantsiman,130313
Mpohor/Wassa East,157729
New-Juaben Municipal,152858
Nkoranza,157125
Nzema East,183815
Obuasi Municipal,190907
Offinso,181203
Pru,98304
Sefwi-Wiawso,191636
Sekyere East,205664
Sekyere West,187122
Sene,100111
Shama Ahanta East Metropolitan,474962
Suhum/Kraboa/Coaltar,186056
Sunyani,218295
Tain,203036
Tano North,76656
Tano South,73699
Techiman Municipal,212733
Tema Municipal,714657
Twifo/Heman/Lower Denkyira,180503
Upper Denkyira,128059
Wasa Amenfi East,113372
Wasa Amenfi West,188183
Wassa West,299386
Wenchi,39187
West Akim,172297
Yilo Krobo,96165
